"Period","Activity","Source","Destination","Energy (MW.h)","Total Value (CAN$)","Price (CAN$/MW.h)"
"05/01/1990","Exports","Total","New York","259104.7290","8373840.0500","26.86"
"05/01/1990","Exports","Total","North Dakota","7148.0000","159225.3000","22.28"
"05/01/1990","Exports","Total","Oregon","146668.0000","2773176.1100","18.91"
"05/01/1990","Exports","Total","Total","1153342.3650","38870438.7400","31.29"
"05/01/1990","Exports","Total","Vermont","100961.0000","4369333.5100","36.12"
"05/01/1990","Exports","Total","Washington","7239.2000","157053.4100","21.69"
"05/01/1990","Imports","Maine","New Brunswick","371.2000","17101.0000","46.07"
"05/01/1990","Imports","Maine","Total","371.2000","17101.0000","46.07"
"05/01/1990","Imports","Michigan","Ontario","1243378.8000","42670387.5700","34.32"
"05/01/1990","Imports","Michigan","Total","1243378.8000","42670387.5700","34.32"
"05/01/1990","Imports","Minnesota","Manitoba","50646.0000","611679.5600","12.08"
"05/01/1990","Imports","Minnesota","Ontario","14435.0000","538715.6900","37.32"
"05/01/1990","Imports","Minnesota","Total","65081.0000","1150395.2500","17.68"
"05/01/1990","Imports","Montana","British Columbia","10.0000","580.2500","58.02"
"05/01/1990","Imports","Montana","Total","10.0000","580.2500","58.02"
"05/01/1990","Imports","New England-ISO","Québec","1456.0000","53651.9700","36.85"
"05/01/1990","Imports","New England-ISO","Total","1456.0000","53651.9700","36.85"
"05/01/1990","Imports","New York","Ontario","85486.0000","3097473.8700","36.23"
"05/01/1990","Imports","New York","Québec","164126.0000","4301661.6400","26.21"
"05/01/1990","Imports","New York","Total","249612.0000","7399135.5100","29.64"
"05/01/1990","Imports","North Dakota","Manitoba","13520.0000","162729.4500","12.04"
"05/01/1990","Imports","North Dakota","Saskatchewan","1484.0000","175450.0000","118.23"
"05/01/1990","Imports","North Dakota","Total","15004.0000","338179.4500","22.54"
"05/01/1990","Imports","Total","Alberta","208.0000","8838.5900","42.49"
"05/01/1990","Imports","Total","British Columbia","1377.0000","12101.2500","8.79"
"05/01/1990","Imports","Total","Manitoba","64166.0000","774409.0100","12.07"
"05/01/1990","Imports","Total","New Brunswick","371.2000","17101.0000","46.07"
"05/01/1990","Imports","Total","Ontario","1343299.8000","46306577.1300","34.47"
"05/01/1990","Imports","Total","Québec","165582.0000","4355313.6100","26.30"
"05/01/1990","Imports","Total","Saskatchewan","1484.0000","175450.0000","118.23"
"05/01/1990","Imports","Total","Total","1576488.0000","51649790.5900","32.76"
"05/01/1990","Imports","Washington","Alberta","208.0000","8838.5900","42.49"
